대학명,캠퍼스,계열,추천전형,전형명,전형명_key,전형구분,모집단위,모집인원,2024_모집인원,D-2(2024),D-1(2024),D-0오전(2024),D-0오후(2024),최종(2024),D-2(2023),D-1(2023),D-0오전(2023),D-0오후(2023),최종(2023),D-2(2022),D-1(2022),D-0오전(2022),D-0오후(2022),최종(2022),3개년평균,경쟁률_0910_1100,경쟁률_0910_1500,경쟁률_0911_1100,경쟁률_0911_1500,경쟁률_0912_1000,경쟁률_0912_1600,경쟁률_0913_1000,경쟁률_0913_1500,지원인원_0910_1100,지원인원_0910_1500,지원인원_0911_1100,지원인원_0911_1500,지원인원_0912_1000,지원인원_0912_1600,지원인원_0913_1000,지원인원_0913_1500
가천대학교,,,0,가천바람개비,가천바람개비,종합,AI인문대학,30,,,,,,,,,,,,,,,,,,3.1,3.33,6.03,6.87,10.53,11.77,19.1,19.97,93,100,181,206,316,353,573,599
가천대학교,,,0,학생부우수자,학생부우수자,교과,AI인문대학,30,,,,,,,,,,,,,,,,,,0.47,0.57,1.07,1.2,2.4,2.8,5.83,6.17,14,17,32,36,72,84,175,185
가천대학교,,자연,0,가천바람개비,가천바람개비,종합,간호학과,38,45,10.18,15.98,21.29,22.67,26.53,,9.42,13.7,14.44,16.81,4.32,8.15,13.15,14.56,16.61,19.99,2.97,3.26,6.13,6.71,11,11.92,18.92,19.76,113,124,233,255,418,453,719,751
가천대학교,,자연,1,지역균형,지역균형,교과,간호학과,15,20,5.65,7.85,10.9,11.65,13.6,,22.57,28.13,28.78,31.74,4.85,8.5,11.35,11.85,12.65,19.33,7.4,7.73,14.2,16.2,24.93,27.07,40.2,41.67,111,116,213,243,374,406,603,625
가천대학교,,자연,0,학생부우수자,학생부우수자,교과,간호학과,33,42,2.81,4.55,6.17,6.48,7.38,,4.92,6.13,6.49,7.31,4.91,7.89,10.77,11.09,12.63,9.11,0.85,0.88,1.91,2.06,3.64,3.82,5.88,6.09,28,29,63,68,120,126,194,201
가천대학교,,자연,0,가천바람개비,가천바람개비,종합,건축학부,11,11,13,20.55,29.55,31.91,37.09,,6.71,10.71,11.53,15.06,2.73,5.93,11.47,12.87,16.53,22.89,4.09,4.18,10.18,11.18,17.82,19.09,31.73,32.82,45,46,112,123,196,210,349,361
가천대학교,,자연,1,지역균형,지역균형,교과,건축학부,1,10,5.7,9.9,14.7,15.6,18.3,,32.2,44.4,46.3,50.7,2,5,8,8.14,10,26.33,4,4,7,8,14,14,22,24,4,4,7,8,14,14,22,24
가천대학교,,자연,0,학생부우수자,학생부우수자,교과,건축학부,13,14,3.57,6.93,10.79,11.64,13.86,,4.65,6.41,7,9.18,5.08,8.25,12.33,13.08,16.75,13.26,0.38,0.62,1.69,1.85,2.85,3.08,5.31,5.62,5,8,22,24,37,40,69,73
가천대학교,,인문,0,가천바람개비,가천바람개비,종합,경영학과,30,50,8.38,13.56,20.6,21.78,25.48,,7.24,11.38,12.18,15.04,3.34,6.17,12.38,13.62,16.81,19.11,2.7,3,6,6.93,11.47,12.6,21.67,22.93,81,90,180,208,344,378,650,688
가천대학교,,인문,0,학생부우수자,학생부우수자,교과,경영학과,18,36,3.11,4.81,8,8.31,10.89,,6.83,9.43,9.91,12.46,4.97,8.82,14.85,15.88,19.35,14.23,0.44,0.78,2.11,2.39,3.5,3.89,7.06,7.39,8,14,38,43,63,70,127,133
가천대학교,,인문,0,가천바람개비,가천바람개비,종합,경제학과,10,8,6.38,12.38,21.12,22.75,27.12,,4.11,7.68,8.47,11.26,2.18,3.36,8.18,8.82,12.27,16.89,2,2.2,4.6,4.6,7.9,8.7,15.9,16.9,20,22,46,46,79,87,159,169
가천대학교,,인문,1,지역균형,지역균형,교과,경제학과,1,6,4.5,7.67,12.83,13.67,15.33,,21.12,29.75,31.88,36.38,2,2.75,4.88,5.5,7.25,19.65,2,2,2,2,5,6,12,14,2,2,2,2,5,6,12,14
가천대학교,,인문,0,학생부우수자,학생부우수자,교과,경제학과,7,6,3.5,4.67,9.33,10.67,15,,7.8,11.2,11.5,14.6,2.1,5,9.2,10.1,16.2,15.27,0.57,0.57,1,1.14,2.71,2.86,5.29,5.57,4,4,7,8,19,20,37,39
가천대학교,,인문,0,가천바람개비,가천바람개비,종합,관광경영학과,8,8,23.25,34,49.12,51,60.12,,6.88,12.38,13,15.38,5.38,10.38,19.38,20.5,24.12,33.21,4.63,5.25,9.38,11.13,18.63,20.38,32.88,35,37,42,75,89,149,163,263,280
가천대학교,,인문,1,지역균형,지역균형,교과,관광경영학과,2,6,3.33,4.17,5.67,6.33,10,,9.33,13.33,14,19.5,4.67,8.5,12.67,14,16,15.17,2,2,4,6,12,13,24.5,24.5,4,4,8,12,24,26,49,49
가천대학교,,인문,0,학생부우수자,학생부우수자,교과,관광경영학과,7,6,3.5,6.33,9.5,10.67,16,,5.29,7.71,7.86,9.86,3.17,6.67,11.17,12.33,15,13.62,1,1,1.71,1.71,2.57,3,6.14,6.71,7,7,12,12,18,21,43,47
가천대학교,,,0,가천바람개비,가천바람개비,종합,금융빅데이터학부,15,,,,,,,,,,,,,,,,,,0.93,1.2,2.53,2.93,5,5.47,10.53,11.13,14,18,38,44,75,82,158,167
가천대학교,,,0,학생부우수자,학생부우수자,교과,금융빅데이터학부,16,,,,,,,,,,,,,,,,,,0.19,0.25,0.75,0.88,1.75,2.19,4.44,4.75,3,4,12,14,28,35,71,76
가천대학교,,자연,0,가천바람개비,가천바람개비,종합,기계공학부,28,16,7.56,13.62,22.19,22.94,26.44,,4.73,8.8,9.8,12.07,3.58,6.17,11.5,12.58,16.17,18.22,1.61,1.79,4.32,4.96,8.86,9.61,17.64,18.39,45,50,121,139,248,269,494,515
가천대학교,,자연,0,학생부우수자,학생부우수자,교과,기계공학부,26,12,11.08,20.33,35.25,37.83,45.25,,3.64,5.55,6.27,7.55,2.27,4.45,9.09,9.82,13,21.93,0.46,0.5,1.46,1.73,3.38,3.92,8.04,8.38,12,13,38,45,88,102,209,218
가천대학교,,자연,0,가천바람개비,가천바람개비,종합,도시계획조경학부,7,7,7.29,12.29,16.29,17.86,21.29,,6,10.7,11.4,13.1,2.67,4.22,8.56,9,10.67,15.02,2.57,2.86,5.86,6.43,10.86,12,19.29,20,18,20,41,45,76,84,135,140
가천대학교,,자연,1,지역균형,지역균형,교과,도시계획조경학부,1,7,5,8.14,12,13.71,17.29,,12,18.25,19.25,22.62,2.71,4.43,6.29,6.71,7.86,15.92,4,5,5,5,6,6,12,12,4,5,5,5,6,6,12,12
가천대학교,,자연,0,학생부우수자,학생부우수자,교과,도시계획조경학부,10,10,3.4,6,10.5,10.8,14.1,,4.4,6.8,7.1,9.9,2.71,4.71,8.29,9.43,11.29,11.76,0.4,0.4,1.2,1.3,2.1,2.2,3.8,3.9,4,4,12,13,21,22,38,39
가천대학교,,자연,0,가천바람개비,가천바람개비,종합,물리치료학과,6,6,24.83,38.33,51,52.83,57.17,,20.43,29.43,31.57,35.14,7.43,16,30.57,33,37.29,43.2,6,6.5,12.33,14,21.67,22.83,32.83,33.33,36,39,74,84,130,137,197,200
가천대학교,,자연,1,지역균형,지역균형,교과,물리치료학과,6,5,6.2,9,11.2,11.8,12.8,,14.4,19.2,19.8,22.2,8.5,13.67,16.67,17.17,19.17,18.06,8.5,9.67,14.67,16.67,23,25.17,33.67,34.67,51,58,88,100,138,151,202,208
가천대학교,,자연,0,학생부우수자,학생부우수자,교과,물리치료학과,6,5,4.8,7.4,9.8,9.8,12.4,,13.4,17.4,18.2,20.2,11.75,19.5,25.25,26.25,30.25,20.95,2,2.17,3.33,3.83,5.83,6.17,8,8.33,12,13,20,23,35,37,48,50
가천대학교,,인문,0,가천바람개비,가천바람개비,종합,미디어커뮤니케이션학과,8,11,24,38.82,55.18,57.09,64.64,,18.08,27.75,29.75,34.17,6.08,14.08,28.67,30.42,37.33,45.38,6.25,6.63,12.75,15.25,28.63,31.25,50.75,52.5,50,53,102,122,229,250,406,420
